"title","city","address","phone","imageUrl","website","rank","categoryName","url","totalScore","state"
"Arunodaya Mind & Dental Care | Psychiatrist | Endodontist | Root Canal Specialist | Dentist | Counselling Services","Amravati","6, Near Irwin Square, Khaparde Garden, Maharashtra 444601, India","+91 93224 22529","https://lh5.googleusercontent.com/p/AF1QipN-qVvqy59llz-oXz52IvJdgbkQP4jbARS9toDN=w408-h306-k-no",,"9","Hospital","https://www.google.com/maps/search/?api=1&query=Arunodaya%20Mind%20%26%20Dental%20Care%20%7C%20Psychiatrist%20%7C%20Endodontist%20%7C%20Root%20Canal%20Specialist%20%7C%20Dentist%20%7C%20Counselling%20Services&query_place_id=ChIJBVeF0aak1jsRRXP9O4683tQ","4.9","Maharashtra"
"MindSpring Neuropsychiatry Clinic ( Dr Anurag Khapri )","Amravati","1/1, Main road Rajendra colony, to, Prashant Nagar, road, Amravati, Maharashtra 444606, India","+91 70200 30395","https://lh5.googleusercontent.com/p/AF1QipP2JLpfNOdrn0eiJIHn_WIVv9vsO7ICF75FC6zd=w408-h544-k-no",,"8","Psychiatrist","https://www.google.com/maps/search/?api=1&query=MindSpring%20Neuropsychiatry%20Clinic%20(%20Dr%20Anurag%20Khapri%20)&query_place_id=ChIJM5cYhuWl1jsR8dqydgXD9qc","4.4","Maharashtra"
"Dr. Rohit Deshmukh Manas Hospital - Best Psychiatrist In Amravati | Best De-Addiction Center In Amravati | Mind Care Hospital","Amravati","Rukhmini Nagar, Congress Nagar Rd, Amravati, Maharashtra 444606, India","+91 70207 41687","https://lh5.googleusercontent.com/p/AF1QipOhXm7_rO8C7SFHTL2pH8Ob98RkpOeuTCEeFKm8=w426-h240-k-no","https://book-appointment.healthplix.com/dr-dr-rohit-deshmukh-psychiatry-rahatgaon-amravati","7","Doctor","https://www.google.com/maps/search/?api=1&query=Dr.%20Rohit%20Deshmukh%20Manas%20Hospital%20-%20Best%20Psychiatrist%20In%20Amravati%20%7C%20Best%20De-Addiction%20Center%20In%20Amravati%20%7C%20Mind%20Care%20Hospital&query_place_id=ChIJG-eac-Dr1DsRr_4oV_Prm3U","4.8","Maharashtra"
"Dr.Sarode Ravikumar Psychiatric clinic","Amravati","WQH2+885, Tank Plaza, Ambadevi Rd, beside IDBI Bank, Amravati, Maharashtra 444606, India",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0R-1UK0PLSDuSxfbdFqZrQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=352.46033&pitch=0&thumbfov=100",,"6","Psychiatrist","https://www.google.com/maps/search/?api=1&query=Dr.Sarode%20Ravikumar%20Psychiatric%20clinic&query_place_id=ChIJsXvfXjel1jsRfj_LlJlfPXg","4.5","Maharashtra"
"Dr. Mukund Murke Neuropsychiatric Hospital","Amravati","behind Aadarsh Prathmik School, Khaparde Bagicha, Maltekdi, Amravati, Maharashtra 444601, India","+91 88883 87861","https://lh5.googleusercontent.com/p/AF1QipNuhXO0A3MT3mJ1g6J7kxBd82GivpWWMiU--oRl=w408-h544-k-no",,"5","Psychiatric hospital","https://www.google.com/maps/search/?api=1&query=Dr.%20Mukund%20Murke%20Neuropsychiatric%20Hospital&query_place_id=ChIJXeKKIQKl1jsRq7t_jx71mf8","4.5","Maharashtra"
"Sikchi mind care clinic-Psychiatry/ De addiction Psychiatrist/ Best Doctor in Amravati/ Child Psychiartrist/ Sexologist","Amravati","1 St floor, sarda building Jaisthambh chowk, Morshi road, near Sahakar bhavan, near City news channel, Amrawati Tahsil, Amravati, Maharashtra 444601, India","+91 95795 09041","https://lh5.googleusercontent.com/p/AF1QipMr4Ug_p3jw-7QIkiAs-cP95c-aFE8k2mnoVuYt=w408-h544-k-no",,"4","Psychiatrist","https://www.google.com/maps/search/?api=1&query=Sikchi%20mind%20care%20clinic-Psychiatry%2F%20De%20addiction%20Psychiatrist%2F%20Best%20Doctor%20in%20Amravati%2F%20Child%20Psychiartrist%2F%20Sexologist&query_place_id=ChIJy4uAPhuj1jsR6OrsQuXnTpI","5","Maharashtra"
"Dr Rathod Centre","Amravati","Amravati Old Bypass Rd, Jalaram Nagar, Dastur Nagar, Amravati, Maharashtra 444606, India","+91 721 254 0211","https://lh5.googleusercontent.com/p/AF1QipOM48vsTwhnAVES7PnR0dfGSDysn312N3m--Khu=w408-h544-k-no",,"3","Psychiatrist","https://www.google.com/maps/search/?api=1&query=Dr%20Rathod%20Centre&query_place_id=ChIJl3kb4Oqk1jsRcCXM_5RpAf8","4.6","Maharashtra"
"Dr. Chandurkar's Neuropsychiatry Care Clinic & Pain Clinic -De Addiction/Child Psychiatrist/ADHD/Psychiatrist in Amravati","Amravati","Totey eye hospital & polyclinic, Rathi Nagar, Gadge Nagar, Amravati, Maharashtra 444604, India","+91 73870 77448","https://lh5.googleusercontent.com/p/AF1QipP_iiwuSN1dY1Kj_dpY1EVIz_jYbUGrnG_JiAjk=w426-h240-k-no",,"2","Psychiatrist","https://www.google.com/maps/search/?api=1&query=Dr.%20Chandurkar's%20Neuropsychiatry%20Care%20Clinic%20%26%20Pain%20Clinic%20-De%20Addiction%2FChild%20Psychiatrist%2FADHD%2FPsychiatrist%20in%20Amravati&query_place_id=ChIJkwabpWSj1jsR_pXgvnBqRpI","5","Maharashtra"
"Psychologist Priyanka Tayade","Amravati","XQ2X+5H9, Yogiraj Nagar, Amravati, Maharashtra 444602, India",,,,"1","Psychotherapist","https://www.google.com/maps/search/?api=1&query=Psychologist%20Priyanka%20Tayade&query_place_id=ChIJERAtk3Cj1jsRwbUN-L6lC8s",,"Maharashtra"
"Chaitanya Clinic","Satara, Pirwadi","M2V8+4QJ, behind Kasat Mangal Karyalay, Sadar Bazar, Satara, Pirwadi, Maharashtra 415001, India",,"https://lh5.googleusercontent.com/p/AF1QipNivcfpNuaIKLU80i9G4BIdWBEdNbV6dRbb0Lcl=w426-h240-k-no",,"20","Psychiatrist","https://www.google.com/maps/search/?api=1&query=Chaitanya%20Clinic&query_place_id=ChIJ86IMee85wjsRx2-1dvjcuA8",,"Maharashtra"
"Manaswasthya Clinic","Karad","Bhattad Complex, Dutt Chowk, Bus Stand Rd, opposite Chh. Shivaji Maharaj statue, Karad, Maharashtra 415110, India",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WQzmyAu6EFtKM8sjbQFMOA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=124.060524&pitch=0&thumbfov=100",,"16","Psychiatrist","https://www.google.com/maps/search/?api=1&query=Manaswasthya%20Clinic&query_place_id=ChIJEaFn3amDwTsRgkloXCwO8Qs","1","Maharashtra"
"Manodnya Nursing Home : Psychiatry Clinic","Sangli, Sangli Miraj Kupwad","Gandhi Nagar, Vishrambag, Sangli, Sangli Miraj Kupwad, Maharashtra 416415, India","+91 233 230 0027","https://lh5.googleusercontent.com/p/AF1QipObfC2NXxCLULL3cuwfCWzlz91oa0Rq8PCLrJb-=w408-h544-k-no",,"14","Psychiatrist","https://www.google.com/maps/search/?api=1&query=Manodnya%20Nursing%20Home%20%3A%20Psychiatry%20Clinic&query_place_id=ChIJpTAfL4IiwTsRbLdrdZcnlj8","3.3","Maharashtra"
"Nirmal Hospital , De-Addiction & Rehab Centre, Miraj.","Miraj","Station Rd, Shivaji Nagar, Miraj, Maharashtra 416410, India","+91 99226 46566","https://lh5.googleusercontent.com/p/AF1QipNzBFHNLVJzH0zrC5vOWAVMeWLOtFwnIEhVe_U=w426-h240-k-no",,"13","Hospital","https://www.google.com/maps/search/?api=1&query=Nirmal%20Hospital%20%2C%20De-Addiction%20%26%20Rehab%20Centre%2C%20Miraj.&query_place_id=ChIJCWBTu8ojwTsRcRuZQyJVa48","4.8","Maharashtra"
"DR.RAUT HOSPITAL , Manobal Psychiatry and sexology Clinic","Pandharpur","Juna karad naka, Karad road, near Dr PADALKAR HOSPITAL, behind B A MEDICALS, Pandharpur, Maharashtra 413304, India","+91 98500 40023","https://lh5.googleusercontent.com/p/AF1QipOKrWj0eJW748RgqUhc0O_AQ4-xgxVwg7JFTcLp=w408-h272-k-no",,"12","Psychiatrist","https://www.google.com/maps/search/?api=1&query=DR.RAUT%20HOSPITAL%20%2C%20Manobal%20Psychiatry%20and%20sexology%20Clinic&query_place_id=ChIJEbu6mxwYxDsRGXPd8m3IwXU","4.6","Maharashtra"
"Dr Amarsinh Mental Health Clinic","Satara","Sadar Bazar, Satara, Maharashtra 415001, India","+91 98812 11881","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TciT43SFqImNWfRrK9ro8Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=179.891&pitch=0&thumbfov=100",,"11","Psychiatrist","https://www.google.com/maps/search/?api=1&query=Dr%20Amarsinh%20Mental%20Health%20Clinic&query_place_id=ChIJO2zE_wE5wjsRb9Sif7-pUxs","5","Maharashtra"
"Dr Kavita Shah Psychiatrist","Kolhapur","opposite Ruikar Colony, near Maharaja hotel, Laxminarayan Nagar, Ruikar Colony, Kolhapur, Maharashtra 416005, India","+91 231 266 6698","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ECVkdFR7aj8kZmHq5uoHKQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=8.071416&pitch=0&thumbfov=100","http://www.kolhapurpsychiatrist.com/","10","Doctor","https://www.google.com/maps/search/?api=1&query=Dr%20Kavita%20Shah%20Psychiatrist&query_place_id=ChIJu6NEQhsBwTsRh1QFZLz7Gk4","4.6","Maharashtra"
"Dr Prassana Dabholkar Clinic","Satara","32, Ramkrishna Colony, Sadar Bazar, Satara, Maharashtra 415001, India",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XTCZIc_2yEa1Ib1B1A-EOw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=305.50443&pitch=0&thumbfov=100",,"9","Psychiatrist","https://www.google.com/maps/search/?api=1&query=Dr%20Prassana%20Dabholkar%20Clinic&query_place_id=ChIJdWwstuo5wjsRu51k0Cg9YcI","5","Maharashtra"
"Anand Clinic","Sangli, Sangli Miraj Kupwad","Gandhi Nagar, Vishrambag, Sangli, Sangli Miraj Kupwad, Maharashtra 416415, India",,"https://lh5.googleusercontent.com/p/AF1QipPecOeVzjWIFVxaut6760tSVfs2dWZnM4x9Kgd4=w426-h240-k-no",,"8","Psychiatrist","https://www.google.com/maps/search/?api=1&query=Anand%20Clinic&query_place_id=ChIJ13a_SioZwTsR4B6TCSnDpaE",,"Maharashtra"
"Mana sajjana Dr Nilam Behere Psychiatrist","Kolhapur","Replant skin and hair clinic, Bhosale heights, 3rd Ln, behind MUFTI' showroom, near hotel Castle, Poorvarang, Mahalaxminagar, Rajarampuri, Kolhapur, Maharashtra 416005, India",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QR_K7XJVUxzmlEY2H941Og&cb_client=search.gws-prod.gps&w=408&h=240&yaw=76.06981&pitch=0&thumbfov=100",,"7","Psychiatrist","https://www.google.com/maps/search/?api=1&query=Mana%20sajjana%20Dr%20Nilam%20Behere%20Psychiatrist&query_place_id=ChIJzacG2scBwTsRtOEBs2VnXY8","5","Maharashtra"
"Horizon Mind Care Clinic","Kolhapur","O 3/4, 1st Floor, Royal Classic Apartment, 3rd Ln, E Ward, Mahalaxminagar, Rajarampuri, Kolhapur, Maharashtra 416008, India","+91 90215 24584","https://lh5.googleusercontent.com/p/AF1QipOc6Iu7I-p3i3aI3hiKJXmm7G1tq6l3Bxytq-Co=w408-h272-k-no",,"6","Psychiatric hospital","https://www.google.com/maps/search/?api=1&query=Horizon%20Mind%20Care%20Clinic&query_place_id=ChIJhWfwVD4AwTsRlGSorAWtYzA","4.9","Maharashtra"
"Manoveda Psychiatric Clinic (मनोवेदा साइकिएट्रिक क्लिनिक) Dr. Amol Jadhav MD Psychiatry (Ayu) Bangalore.","Baramati","3rd floor, Harikrupa Nagar, Baramati- Indapur road In front of Market Yard, Indian Oil petrol pump Gadhave- Nanaware Heights, above Gaikwad Diagnostic, Baramati, Maharashtra 413102, India","+91 91466 44242","https://lh5.googleusercontent.com/p/AF1QipMGE2dr3WCkobcJIqCw7J11TxOArYBKXFGfCRXX=w408-h544-k-no",,"5","Psychiatrist","https://www.google.com/maps/search/?api=1&query=Manoveda%20Psychiatric%20Clinic%20(%E0%A4%AE%E0%A4%A8%E0%A5%8B%E0%A4%B5%E0%A5%87%E0%A4%A6%E0%A4%BE%20%E0%A4%B8%E0%A4%BE%E0%A4%87%E0%A4%95%E0%A4%BF%E0%A4%8F%E0%A4%9F%E0%A5%8D%E0%A4%B0%E0%A4%BF%E0%A4%95%20%E0%A4%95%E0%A5%8D%E0%A4%B2%E0%A4%BF%E0%A4%A8%E0%A4%BF%E0%A4%95)%20Dr.%20Amol%20Jadhav%20MD%20Psychiatry%20(Ayu)%20Bangalore.&query_place_id=ChIJaaBpJCuhwzsRkeDog2KfkeE","5","Maharashtra"
"Parshwa Clinic Dr Ashwin Shah","Kolhapur","1st floor, Gajalata Arcade, near Shahaji Law College, Sykes Extension, Kolhapur, Maharashtra 416005, India","+91 70585 45115","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Fa5l2ij6Gpu0WUFi0kKT4w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=170.29474&pitch=0&thumbfov=100","https://kolhapurpsychiatrist.com/","4","Psychiatrist","https://www.google.com/maps/search/?api=1&query=Parshwa%20Clinic%20Dr%20Ashwin%20Shah&query_place_id=ChIJgSxN4UwAwTsRzgaouvZE6z0","4.6","Maharashtra"
"DrDhananjaypatil MD(PSYCHIATRY)","Kolhapur","City Hospital Rajarampuri, 8th Ln, Main Road, Kolhapur, Maharashtra 416008, India",,"https://lh5.googleusercontent.com/p/AF1QipP6JqyqS0_YgBNtkYzDvMWQzz1ilQDWb6Md3nUO=w408-h419-k-no",,"3","Doctor","https://www.google.com/maps/search/?api=1&query=DrDhananjaypatil%20MD(PSYCHIATRY)&query_place_id=ChIJPy2KxV0BwTsRbT45RnlEM3w","4.9","Maharashtra"
"Manthan Neuropsychiatry Clinic","Kolhapur","UG-6, Krystal Plaza, Besides Gold Gym Circuit House Road, opp. Yellow Chilli Restaurant, Tarabai Park, Kolhapur, Maharashtra 416003, India","+91 99307 90433","https://lh5.googleusercontent.com/p/AF1QipPCCtlPRfEZo3tyjuysu-C2t0XlcFDUfKE0xh1W=w426-h240-k-no","http://www.manthankolhapur.com/","2","Psychiatrist","https://www.google.com/maps/search/?api=1&query=Manthan%20Neuropsychiatry%20Clinic&query_place_id=ChIJQXPJRAwBwTsRYC4K8zoTCAg","4.9","Maharashtra"
"Dr. S V Mohite's Clinic","Kadegaon, Tondoli","992H+W34, At Post -Tondoli, Taluka Kadegaon,, Kadegaon, Maharashtra 415305, India","+91 84338 19484","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QMt0y0zfG52esp9O2sVQ5g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=169.86533&pitch=0&thumbfov=100",,"1","Dermatologist","https://www.google.com/maps/search/?api=1&query=Dr.%20S%20V%20Mohite's%20Clinic&query_place_id=ChIJ3xJW3dTH5zsRk_BUJcjvzUc","4.3","Maharashtra"
"MINDCARE HOSPITAL FOR MENTAL & SEXUAL HEALTH, KHED","Khed","DR ALVI'S LIBAAN CLINIC, Teen Batti, naka, SONAR AALI, near DANDEKAR JWELLERS, Khed, Maharashtra 415709, India","+91 95034 21124","https://lh5.googleusercontent.com/p/AF1QipMvyzw6Fw_6CxHqA7wHgi1cmCRAdLxuUuw0prRX=w408-h272-k-no","http://www.mindcareonline.com/","1","Doctor","https://www.google.com/maps/search/?api=1&query=MINDCARE%20HOSPITAL%20FOR%20MENTAL%20%26%20SEXUAL%20HEALTH%2C%20KHED&query_place_id=ChIJkXWJhCPe6TsRSDZfMpO2afw",,"Maharashtra"
"Mind Care Hospital","Jalna","Nariman Nagar, Jalna, Maharashtra 431213, India",,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oEbxY5xnMq7-4Wbf_6lujQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=17.714615&pitch=0&thumbfov=100","https://www.eka.care/doctor/dr-kumarshri-s-saraswat-psychiatry-jalna?utm_source=gmb&utm_medium=website&utm_campaign=032023","10","Doctor","https://www.google.com/maps/search/?api=1&query=Mind%20Care%20Hospital&query_place_id=ChIJLf0tjTJX2jsRLJ4fuhmHiO4","5","Maharashtra"
"Dr. Bambole Nursing Home","Chandrapur","Datala Rd, Revenue Colony, Ramnagar, Chandrapur, Maharashtra 442402, India","+91 97306 45100","https://lh5.googleusercontent.com/p/AF1QipNVG2IvJuE7DcQYFi-xleLp-AankmcHK2Kx5gs3=w408-h306-k-no",,"20","Hospital","https://www.google.com/maps/search/?api=1&query=Dr.%20Bambole%20Nursing%20Home&query_place_id=ChIJM-h2sUbX0jsR8YBSY911U-Y","4.4","Maharashtra"
